tube_no	variety	N	stage
1	Skyfall	100N	14DAA
2	Skyfall	100N	14DAA
3	Skyfall	100N	14DAA
4	Skyfall	200N	14DAA
5	Skyfall	200N	14DAA
6	Skyfall	200N	14DAA
7	Skyfall	350N	14DAA
8	Skyfall	350N	14DAA
9	Skyfall	350N	14DAA
10	Gallant	100N	14DAA
11	Gallant	100N	14DAA
12	Gallant	100N	14DAA
13	Gallant	200N	14DAA
14	Gallant	200N	14DAA
15	Gallant	200N	14DAA
16	Gallant	350N	14DAA
17	Gallant	350N	14DAA
18	Gallant	350N	14DAA
19	Solstice	100N	14DAA
20	Solstice	100N	14DAA
21	Solstice	100N	14DAA
22	Solstice	200N	14DAA
23	Solstice	200N	14DAA
24	Solstice	200N	14DAA
25	Solstice	350N	14DAA
26	Solstice	350N	14DAA
27	Solstice	350N	14DAA
28	Crusoe	100N	14DAA
29	Crusoe	100N	14DAA
30	Crusoe	100N	14DAA
31	Crusoe	350N	14DAA
32	Crusoe	350N	14DAA
33	Crusoe	350N	14DAA
34	Skyfall	100N	21DAA
35	Skyfall	100N	21DAA
36	Skyfall	100N	21DAA
37	Skyfall	200N	21DAA
38	Skyfall	200N	21DAA
39	Skyfall	200N	21DAA
40	Skyfall	350N	21DAA
41	Skyfall	350N	21DAA
42	Skyfall	350N	21DAA
43	Gallant	100N	21DAA
44	Gallant	100N	21DAA
45	Gallant	100N	21DAA
46	Gallant	200N	21DAA
47	Gallant	200N	21DAA
48	Gallant	200N	21DAA
49	Gallant	350N	21DAA
50	Gallant	350N	21DAA
51	Gallant	350N	21DAA
52	Skyfall	100N	28DAA
53	Skyfall	100N	28DAA
54	Skyfall	100N	28DAA
55	Skyfall	200N	28DAA
56	Skyfall	200N	28DAA
57	Skyfall	200N	28DAA
58	Skyfall	350N	28DAA
60	Skyfall	350N	28DAA
61	Crusoe	100N	21DAA
62	Crusoe	100N	21DAA
63	Crusoe	100N	21DAA
64	Crusoe	350N	21DAA
65	Crusoe	350N	21DAA
66	Crusoe	350N	21DAA
68	Solstice	100N	21DAA
69	Solstice	100N	21DAA
70	Solstice	200N	21DAA
71	Solstice	200N	21DAA
72	Solstice	200N	21DAA
73	Solstice	350N	21DAA
74	Solstice	350N	21DAA
75	Solstice	350N	21DAA
76	Gallant	100N	28DAA
77	Gallant	100N	28DAA
78	Gallant	100N	28DAA
79	Gallant	200N	28DAA
80	Gallant	200N	28DAA
81	Gallant	200N	28DAA
82	Gallant	350N	28DAA
83	Gallant	350N	28DAA
84	Gallant	350N	28DAA
85	Solstice	100N	28DAA
87	Solstice	100N	28DAA
88	Solstice	200N	28DAA
90	Solstice	200N	28DAA
91	Solstice	350N	28DAA
92	Solstice	350N	28DAA
93	Solstice	350N	28DAA
94	Crusoe	100N	28DAA
95	Crusoe	100N	28DAA
96	Crusoe	100N	28DAA
97	Crusoe	200N	28DAA
98	Crusoe	200N	28DAA
99	Crusoe	200N	28DAA
100	Crusoe	350N	28DAA
101	Crusoe	350N	28DAA
102	Crusoe	350N	28DAA
103	Crusoe	200N	14DAA
104	Crusoe	200N	14DAA
105	Crusoe	200N	14DAA
106	Crusoe	200N	21DAA
107	Crusoe	200N	21DAA
108	Crusoe	200N	21DAA
59	Skyfall	350N	28DAA
67	Solstice	100N	21DAA
86	Solstice	100N	28DAA
89	Solstice	200N	28DAA
